ID,target
000d6aaf2,30576281.542502012
000fbd867,636723.2090393662
0027d6b71,2079322.916550534
0028cbf45,1888536.8065705455
002a68644,6961377.40841046
002dbeb22,2805955.3217652296
003925ac6,168148.58379874512
003eb0261,643680.6926965109
004b92275,1052864.5584040312
0067b4fef,490177.9189559647
00689ee2c,1028932.7954102133
0069007ac,14838429.586928966
006b60dd7,353786.35187483404
008057126,7091132.331534986
008825875,782695.1364985087
0096e207e,837009.8512325663
00c2deb75,203029.69808378612
00ce2134f,3500128.879788649
00e7ba121,2729545.225884871
00ecc53f2,48897.66774309759
00fb69afe,1598472.0431330209
00fc78888,3324561.9251100384
0110c05db,6200288.105915123
0126abf21,14352542.021411275
012800ace,785565.055690466
012d8bc84,400468.4708360866
012d9baab,6637439.529350137
01346ebb9,1710953.4246729603
013842698,926143.8586932152
01432f2c7,4039650.0131589333
014aa259b,320612.6822349149
015a1c656,19484916.84502554
0161ebeea,4611086.169164308
0163ff75d,18427368.941971716
01666d7a4,872447.9535276371
017ad263f,5954516.881291325
01a09167b,9630944.01557305
01b1dd07c,1754598.3695881357
01b4bd64a,18409891.418879073
01b4c938b,6307505.25110152
01bf430de,19365895.973339953
01db20056,9914071.153219704
020b34e31,4662003.137754279
02111eb6f,8935482.655858174
021f11b0c,31409393.879912257
025b6897a,3994329.7937250948
026c1767f,1662472.3650654026
0270d1d7b,5116580.1991464365
027484f21,12500061.965488466
028020c53,9004579.637538483
02869e5f9,2331922.9860625826
02aa73470,9738009.162610734
02c00f064,1331201.9557092339
02d144b6b,2050366.549382718
02d2b0a64,12763583.18706135
02d4da4c6,241674.80801997051
02d69b525,835377.1893385181
02d791038,309967.72933912475
02e34c8e3,97261.29035306427
02f97498e,7849658.382046056
02fc56b21,18966661.2666124
030edce8a,19094264.602459755
031ddd56a,1087925.0716659126
032818895,9466306.118511066
032beb98c,25265134.993252553
03498d10d,110229.23651945264
034c32bb4,8858301.623897534
034e7a354,11437856.540879147
035419398,1100937.5911225835
0357f3417,9954870.76018116
035b68a24,22387518.79947993
0360e2d7e,81118.744632286
03967601f,5370911.78487679
03a963ee8,3943674.68584265
03c23ecdf,32019190.242512584
03d938c35,235761.5652924248
03e106196,542921.3916325866
03ec1414d,212996.66450747233
03f924fe6,9755113.033058673
040843487,5013053.872320145
0424bf0f1,2268699.6174160633
042cdc62a,3905945.4519096897
043a2b686,14658606.73222062
048042a7b,57173.94951964601
04a154f62,9182665.363882292
04b3efeb9,3045682.844962093
04bc62ea4,1898591.8936124083
04d0e4cf0,4580154.027860674
04d0f44bc,3935732.4736660984
04ed5af8a,1118429.993245838
04fbf2d59,1215181.0407075966
0527dddcf,3977052.008450689
0528302c3,5118972.04284228
0536e2258,1008384.589688921
054da754d,3030326.2322784113
056c44518,30115642.190532148
058c8b11d,1912514.2023329078
